slug,company,company_name_full,report_year,source_md,chunk_index,n_chunks,start_page,end_page,chunk_tokens_est,prompt_tokens_est,elapsed_s,status,error_message,attempt_used,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_activities_raw,n_rows_normalized
elringklinger_ag,ElringKlinger AG,ElringKlinger AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\elringklinger_ag\2023\focused\elringklinger_ag_2023_taxonomy_focused.md,1,1,44,61,13756,14175,2.604224,ok,,1,14193,230,14423,7,7
enbw_energie_baden_w_rttemberg_ag,EnBW Energie Baden-Württemberg AG,EnBW Energie Baden-Württemberg AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\enbw_energie_baden_w_rttemberg_ag\2023\focused\enbw_energie_baden_w_rttemberg_ag_2023_taxonomy_focused.md,1,1,147,153,11572,12005,33.806366,ok,,1,11960,282,12242,11,11
enag_s_s_a,"Enagás, S.A.","Enagás, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\enag_s_s_a\2023\focused\enag_s_s_a_2023_taxonomy_focused.md,1,1,36,44,12417,12838,4.882396,ok,,1,12773,661,13434,23,23
endesa_s_a,"Endesa, S.A.","Endesa, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\endesa_s_a\2023\focused\endesa_s_a_2023_taxonomy_focused.md,1,1,31,35,3927,4346,32.906668,ok,,1,4331,45,4376,0,0
evonik_industries_ag,Evonik Industries AG,Evonik Industries AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\evonik_industries_ag\2023\focused\evonik_industries_ag_2023_taxonomy_focused.md,1,1,225,230,6938,7357,3.790684,ok,,1,7309,247,7556,5,5
frequentis_ag,FREQUENTIS AG,FREQUENTIS AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\frequentis_ag\2023\focused\frequentis_ag_2023_taxonomy_focused.md,1,1,105,114,10030,10451,2.500851,ok,,1,10433,78,10511,1,1
fuchs_se,FUCHS SE,FUCHS SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\fuchs_se\2023\focused\fuchs_se_2023_taxonomy_focused.md,1,1,102,110,7893,8310,5.129105,ok,,1,8283,412,8695,10,10
fuchs_se,FUCHS SE,FUCHS SE,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\fuchs_se\2024\focused\fuchs_se_2024_taxonomy_focused.md,1,1,136,145,6954,7371,6.394101,ok,,1,6751,472,7223,12,12
famicord_ag,FamiCord AG,FamiCord AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\famicord_ag\2023\focused\famicord_ag_2023_taxonomy_focused.md,1,1,59,63,2551,2970,2.067322,ok,,1,2988,44,3032,0,0
flughafen_wien_ag,Flughafen Wien AG,Flughafen Wien AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\flughafen_wien_ag\2023\focused\flughafen_wien_ag_2023_taxonomy_focused.md,1,1,70,74,7499,7918,4.40194,ok,,1,7873,522,8395,10,10
fraport_ag,Fraport AG,Fraport AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\fraport_ag\2023\focused\fraport_ag_2023_taxonomy_focused.md,1,1,107,116,15810,16227,34.33258,ok,,1,16199,468,16667,15,15
fresenius_medical_care_ag,Fresenius Medical Care AG,Fresenius Medical Care AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\fresenius_medical_care_ag\2023\focused\fresenius_medical_care_ag_2023_taxonomy_focused.md,1,1,127,133,8930,9353,2.423307,ok,,1,9318,190,9508,5,5
fresenius_se_co_kgaa,Fresenius SE & Co. KGaA,Fresenius SE & Co. KGaA,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\fresenius_se_co_kgaa\2023\focused\fresenius_se_co_kgaa_2023_taxonomy_focused.md,1,1,193,199,8252,8683,5.355151,ok,,1,8652,363,9015,6,6
friedrich_vorwerk_group_se,Friedrich Vorwerk Group SE,Friedrich Vorwerk Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\friedrich_vorwerk_group_se\2023\focused\friedrich_vorwerk_group_se_2023_taxonomy_focused.md,1,1,39,45,5774,6197,7.674675,ok,,1,6203,728,6931,10,10
galp_energia_sgps_s_a,GALP ENERGIA SGPS S.A.,GALP ENERGIA SGPS S.A.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\galp_energia_sgps_s_a\2024\focused\galp_energia_sgps_s_a_2024_taxonomy_focused.md,1,1,68,74,6248,6679,4.030208,ok,,1,6611,540,7151,10,10
gea_group_aktiengesellschaft,GEA Group Aktiengesellschaft,GEA Group Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\gea_group_aktiengesellschaft\2023\focused\gea_group_aktiengesellschaft_2023_taxonomy_focused.md,1,1,126,147,22455,22881,35.863196,ok,,1,22774,566,23340,23,23
gestamp_automoci_n_s_a,"Gestamp Automoción, S.A.","Gestamp Automoción, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\gestamp_automoci_n_s_a\2023\focused\gestamp_automoci_n_s_a_2023_taxonomy_focused.md,1,1,51,110,16507,16934,2.859189,ok,,1,16778,149,16927,4,4
grammer_aktiengesellschaft,Grammer Aktiengesellschaft,Grammer Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\grammer_aktiengesellschaft\2023\focused\grammer_aktiengesellschaft_2023_taxonomy_focused.md,1,1,73,83,8859,9282,39.817441,ok,,1,9286,460,9746,10,10
heineken_holding_n_v,HEINEKEN HOLDING N.V.,HEINEKEN HOLDING N.V.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\heineken_holding_n_v\2024\focused\heineken_holding_n_v_2024_taxonomy_focused.md,1,1,202,208,4558,4981,15.799488,ok,,1,4991,484,5475,10,10
hella_gmbh_co_kgaa,HELLA GmbH & Co. KGaA,HELLA GmbH & Co. KGaA,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hella_gmbh_co_kgaa\2023\focused\hella_gmbh_co_kgaa_2023_taxonomy_focused.md,1,1,88,95,9962,10389,4.030922,ok,,1,10398,120,10518,4,4
henkel_ag_co_kgaa,HENKEL AG & CO. KGAA,HENKEL AG & CO. KGAA,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\henkel_ag_co_kgaa\2024\focused\henkel_ag_co_kgaa_2024_taxonomy_focused.md,1,1,122,130,6356,6783,5.900096,ok,,1,6796,321,7117,7,7
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,1,1,209,218,13243,13664,8.265669,ok,,1,13628,1727,15355,54,54
hamburger_hafen_und_logistik_ag,Hamburger Hafen und Logistik AG,Hamburger Hafen und Logistik AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hamburger_hafen_und_logistik_ag\2023\focused\hamburger_hafen_und_logistik_ag_2023_taxonomy_focused.md,1,1,128,132,7451,7876,34.004238,ok,,1,7848,260,8108,6,6
hawesko_holding_se,Hawesko Holding SE,Hawesko Holding SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hawesko_holding_se\2023\focused\hawesko_holding_se_2023_taxonomy_focused.md,1,1,50,58,9570,9991,3.918872,ok,,1,9932,53,9985,1,1
heidelberg_materials_ag,Heidelberg Materials AG,Heidelberg Materials AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\heidelberg_materials_ag\2023\focused\heidelberg_materials_ag_2023_taxonomy_focused.md,1,1,129,135,7544,7961,34.627157,ok,,1,7957,369,8326,3,3
hugo_boss_ag,Hugo Boss AG,Hugo Boss AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hugo_boss_ag\2023\focused\hugo_boss_ag_2023_taxonomy_focused.md,1,1,286,292,6029,6446,3.064221,ok,,1,6440,32,6472,0,0
iberdrola_sa,IBERDROLA SA,IBERDROLA SA,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\iberdrola_sa\2024\focused\iberdrola_sa_2024_taxonomy_focused.md,1,1,201,209,5918,6339,4.846345,ok,,1,6321,557,6878,11,11
industria_de_diseno_textil_s_a,INDUSTRIA DE DISENO TEXTIL S.A.,INDUSTRIA DE DISENO TEXTIL S.A.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\industria_de_diseno_textil_s_a\2024\focused\industria_de_diseno_textil_s_a_2024_taxonomy_focused.md,1,1,211,218,3883,4314,7.355168,ok,,1,4283,191,4474,4,4
international_consolidated_airlines_group_s_a,INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A,INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\international_consolidated_airlines_group_s_a\2024\focused\international_consolidated_airlines_group_s_a_2024_taxonomy_focused.md,1,1,331,337,4433,4864,2.434246,ok,,1,4859,125,4984,3,3
iss_a_s,ISS A/S,ISS A/S,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\iss_a_s\2024\focused\iss_a_s_2024_taxonomy_focused.md,1,1,51,97,14524,14939,3.640796,ok,,1,14895,199,15094,3,3
ivu_traffic_technologies_ag,IVU Traffic Technologies AG,IVU Traffic Technologies AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ivu_traffic_technologies_ag\2023\focused\ivu_traffic_technologies_ag_2023_taxonomy_focused.md,1,1,39,44,5302,5721,7.537258,ok,,1,5704,173,5877,0,0
immofinanz_ag,Immofinanz AG,Immofinanz AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\immofinanz_ag\2023\focused\immofinanz_ag_2023_taxonomy_focused.md,1,1,128,136,6579,6998,3.497165,ok,,1,7004,145,7149,3,3
industria_de_dise_o_textil_s_a,"Industria de Diseño Textil, S.A.","Industria de Diseño Textil, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\industria_de_dise_o_textil_s_a\2023\focused\industria_de_dise_o_textil_s_a_2023_taxonomy_focused.md,1,1,364,370,5355,5784,35.673906,ok,,1,5813,222,6035,4,4
instone_real_estate_group,Instone Real Estate Group,Instone Real Estate Group,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\instone_real_estate_group\2023\focused\instone_real_estate_group_2023_taxonomy_focused.md,1,1,100,104,6660,7079,5.560432,ok,,1,7094,589,7683,3,3
jeronimo_martins_sgps_s_a,JERONIMO MARTINS SGPS S.A.,JERONIMO MARTINS SGPS S.A.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\jeronimo_martins_sgps_s_a\2024\focused\jeronimo_martins_sgps_s_a_2024_taxonomy_focused.md,1,1,321,328,6358,6787,3.767617,ok,,1,6732,456,7188,8,8
jenoptik_ag,Jenoptik AG,Jenoptik AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\jenoptik_ag\2023\focused\jenoptik_ag_2023_taxonomy_focused.md,1,1,154,161,8860,9279,35.074786,ok,,1,9305,370,9675,9,9
jungheinrich_ag,Jungheinrich AG,Jungheinrich AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\jungheinrich_ag\2023\focused\jungheinrich_ag_2023_taxonomy_focused.md,1,1,87,95,11804,12225,10.027246,ok,,1,12197,547,12744,17,17
k_s_aktiengesellschaft,K+S Aktiengesellschaft,K+S Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\k_s_aktiengesellschaft\2023\focused\k_s_aktiengesellschaft_2023_taxonomy_focused.md,1,1,101,107,11842,12265,4.444571,ok,,1,12232,365,12597,6,6
koninklijke_ahold_delhaize_n_v,KONINKLIJKE AHOLD DELHAIZE N.V.,KONINKLIJKE AHOLD DELHAIZE N.V.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\koninklijke_ahold_delhaize_n_v\2024\focused\koninklijke_ahold_delhaize_n_v_2024_taxonomy_focused.md,1,1,194,201,5727,6162,5.372978,ok,,1,6154,801,6955,13,13
ksb_se_co_kgaa_vz,KSB SE & Co. KGaA Vz,KSB SE & Co. KGaA Vz,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ksb_se_co_kgaa_vz\2023\focused\ksb_se_co_kgaa_vz_2023_taxonomy_focused.md,1,1,49,57,12963,13394,4.360387,ok,,1,13387,341,13728,7,7
kl_ckner_co_se,Klöckner & Co SE,Klöckner & Co SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\kl_ckner_co_se\2023\focused\kl_ckner_co_se_2023_taxonomy_focused.md,1,1,155,163,7021,7446,3.924379,ok,,1,7400,387,7787,7,7
knorr_bremse_ag,Knorr-Bremse AG,Knorr-Bremse AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\knorr_bremse_ag\2023\focused\knorr_bremse_ag_2023_taxonomy_focused.md,1,1,69,77,11644,12065,3.730351,ok,,1,12000,424,12424,12,12
koenig_bauer_ag,Koenig & Bauer AG,Koenig & Bauer AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\koenig_bauer_ag\2023\focused\koenig_bauer_ag_2023_taxonomy_focused.md,1,1,165,175,7914,8335,3.19968,ok,,1,8326,184,8510,3,3
krones_ag,Krones AG,Krones AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\krones_ag\2023\focused\krones_ag_2023_taxonomy_focused.md,1,1,137,145,8487,8902,3.928339,ok,,1,8942,391,9333,8,8
l_oreal,L'OREAL,L'OREAL,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\l_oreal\2024\focused\l_oreal_2024_taxonomy_focused.md,1,1,211,220,8719,9136,36.148036,ok,,1,9075,397,9472,7,7
lacroix_group,LACROIX Group,LACROIX Group,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\lacroix_group\2023\focused\lacroix_group_2023_taxonomy_focused.md,1,1,71,79,6627,7046,12.333479,ok,,1,7009,570,7579,20,20
lanxess_ag,LANXESS AG,LANXESS AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\lanxess_ag\2023\focused\lanxess_ag_2023_taxonomy_focused.md,1,1,70,76,8904,9321,3.860775,ok,,1,9300,390,9690,7,7
leg_immobilien_se,LEG Immobilien SE,LEG Immobilien SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\leg_immobilien_se\2023\focused\leg_immobilien_se_2023_taxonomy_focused.md,1,1,105,111,9067,9486,5.659039,ok,,1,9389,471,9860,8,8
lenzing_ag,Lenzing AG,Lenzing AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\lenzing_ag\2023\focused\lenzing_ag_2023_taxonomy_focused.md,1,1,47,54,8235,8649,3.381514,ok,,1,8619,235,8854,8,8
mbb_se,MBB SE,MBB SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\mbb_se\2023\focused\mbb_se_2023_taxonomy_focused.md,1,1,39,45,6857,7272,3.131843,ok,,1,7312,182,7494,6,6
mercedes_benz_group_ag,MERCEDES-BENZ GROUP AG,MERCEDES-BENZ GROUP AG,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\mercedes_benz_group_ag\2024\focused\mercedes_benz_group_ag_2024_taxonomy_focused.md,1,1,186,196,7917,8342,3.57362,ok,,1,8338,232,8570,6,6
mtu_aero_engines_ag,MTU Aero Engines AG,MTU Aero Engines AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\mtu_aero_engines_ag\2023\focused\mtu_aero_engines_ag_2023_taxonomy_focused.md,1,1,116,125,7929,8348,9.813856,ok,,1,8361,358,8719,16,16
mediclin_ag,MediClin AG,MediClin AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\mediclin_ag\2023\focused\mediclin_ag_2023_taxonomy_focused.md,1,1,35,43,6353,6770,4.542598,ok,,1,6786,380,7166,6,6
medios_ag,Medios AG,Medios AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\medios_ag\2023\focused\medios_ag_2023_taxonomy_focused.md,1,1,57,65,9483,9898,32.732222,ok,,1,9875,64,9939,2,2
melia_hotels_international_s_a,"Melia Hotels International, S.A.","Melia Hotels International, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\melia_hotels_international_s_a\2023\focused\melia_hotels_international_s_a_2023_taxonomy_focused.md,1,1,199,205,7287,7710,1.998199,ok,,1,7653,132,7785,2,2
minor_hotels_europe_americas_s_a,"Minor Hotels Europe & Americas, S.A.","Minor Hotels Europe & Americas, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\minor_hotels_europe_americas_s_a\2023\focused\minor_hotels_europe_americas_s_a_2023_taxonomy_focused.md,1,1,333,339,8358,8783,5.04588,ok,,1,8735,376,9111,6,6
mister_spex_se,Mister Spex SE,Mister Spex SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\mister_spex_se\2023\focused\mister_spex_se_2023_taxonomy_focused.md,1,1,27,35,8267,8686,4.154403,ok,,1,8633,67,8700,1,1
norma_group_se,NORMA Group SE,NORMA Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\norma_group_se\2023\focused\norma_group_se_2023_taxonomy_focused.md,1,1,89,101,14410,14829,10.003908,ok,,1,14806,1087,15893,10,10
novo_nordisk_a_s,NOVO NORDISK A/S,NOVO NORDISK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\novo_nordisk_a_s\2024\focused\novo_nordisk_a_s_2024_taxonomy_focused.md,1,1,96,102,5749,6172,3.665807,ok,,1,6169,207,6376,4,4
nemetschek_se,Nemetschek SE,Nemetschek SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\nemetschek_se\2023\focused\nemetschek_se_2023_taxonomy_focused.md,1,1,67,73,6202,6623,1.981576,ok,,1,6586,45,6631,0,0
omv_ag,OMV AG,OMV AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\omv_ag\2023\focused\omv_ag_2023_taxonomy_focused.md,1,1,153,161,12624,13039,39.998911,ok,,1,12876,1352,14228,36,36
