company_id,isin,domains,urls,primary_url
VOLKSWAGEN AG,DE0007664005,www.volkswagen.de;volkswagen.de,https://www.volkswagen.de;https://volkswagen.de,https://www.volkswagen.de
SHELL PLC,GB00BP6MXD84,www.shell.com;www.shell.co.uk;shell.co.uk,https://www.shell.com;https://www.shell.co.uk;https://shell.co.uk,https://www.shell.com
GLENCORE PLC,JE00B4T3BW64,www.glencore.com;glencore.com,https://www.glencore.com;https://glencore.com,https://www.glencore.com
STELLANTIS N.V.,NL00150001Q9,www.stellantis.com;stellantis.com,https://www.stellantis.com;https://stellantis.com,https://www.stellantis.com
TOTALENERGIES SE,FR0000120271,www.total.com;totalenergies.com,https://www.total.com;https://totalenergies.com,https://www.total.com
BP PLC,GB0007980591,www.bp.com;www.hl.co.uk;hl.co.uk,https://www.bp.com;https://www.hl.co.uk;https://hl.co.uk,https://www.bp.com
MERCEDES-BENZ GROUP AG,DE0007100000,www.group.mercedes-benz.com;www.mercedes-benz.de;mercedes-benz.de,https://www.group.mercedes-benz.com/en;https://www.mercedes-benz.de;https://mercedes-benz.de,https://www.group.mercedes-benz.com/en
BAYERISCHE MOTOREN WERKE AG,DE0005190003,www.bmwgroup.com;www.bmw.de;bmw.de,https://www.bmwgroup.com;https://www.bmw.de/de/index.html;https://bmw.de,https://www.bmwgroup.com
DEUTSCHE TELEKOM AG,DE0005557508,www.telekom.com;www.telekom.de;telekom.de,https://www.telekom.com;https://www.telekom.de/start;https://telekom.de,https://www.telekom.com
EQUINOR ASA,NO0010096985,www.equinor.com;equinor.com,https://www.equinor.com;https://equinor.com,https://www.equinor.com
NESTLE S.A.,CH0038863350,www.nestle.com;www.nestle.ch;nestle.ch,https://www.nestle.com;https://www.nestle.ch/de;https://nestle.ch,https://www.nestle.com
ALLIANZ SE,DE0008404005,www.allianz.com;www.allianz.de;allianz.de,https://www.allianz.com;https://www.allianz.de;https://allianz.de,https://www.allianz.com
ENI S.P.A.,IT0003132476,www.eni.com;eni.com,https://www.eni.com;https://eni.com,https://www.eni.com
KONINKLIJKE AHOLD DELHAIZE N.V.,NL0011794037,www.aholddelhaize.com;aholddelhaize.com,https://www.aholddelhaize.com;https://aholddelhaize.com,https://www.aholddelhaize.com
DEUTSCHE POST AG,DE0005552004,www.deutschepost.de;www.dhl.com;dhl.com,https://www.deutschepost.de;https://www.dhl.com/us-en/home.html?locale=true;https://dhl.com,https://www.deutschepost.de
AXA SOCIETE ANONYME,FR0000120628,www.axa.com;www.axa-ic.com;www.axa.fr;axa.fr,https://www.axa.com;https://www.axa-ic.com;https://www.axa.fr;https://axa.fr,https://www.axa.com
CARREFOUR,FR0000120172,www.carrefour.com;www.carrefour.net;carrefour.net,https://www.carrefour.com;https://www.carrefour.net;https://carrefour.net,https://www.carrefour.com
TESCO PLC,GB00BLGZ9862,www.tescoplc.com;tescoplc.com,https://www.tescoplc.com;https://tescoplc.com,https://www.tescoplc.com
CHRISTIAN DIOR,FR0000130403,www.dior-finance.com;www.vogue.fr;vogue.fr,https://www.dior-finance.com;https://www.vogue.fr;https://vogue.fr,https://www.dior-finance.com
LVMH MOET HENNESSY LOUIS VUITTON,FR0000121014,www.lvmh.fr;lvmh.fr,https://www.lvmh.fr;https://lvmh.fr,https://www.lvmh.fr
SIEMENS AG,DE0007236101,www.siemens.com;siemens.com,https://www.siemens.com;https://siemens.com,https://www.siemens.com
E.ON SE,DE000ENAG999,www.eon.com;eon.com,https://www.eon.com;https://eon.com,https://www.eon.com
ENEL SPA,IT0003128367,www.enel.it;enel.it,https://www.enel.it;https://enel.it,https://www.enel.it
ENGIE,FR0010208488,www.engie.com;www.engie.fr;engie.fr,https://www.engie.com;https://www.engie.fr;https://engie.fr,https://www.engie.com
VINCI,FR0000125486,www.vinci.com;vinci.com,https://www.vinci.com;https://vinci.com,https://www.vinci.com
ORLEN S.A.,PLPKN0000018,www.orlen.pl;orlen.pl,https://www.orlen.pl;https://orlen.pl,https://www.orlen.pl
AIRBUS SE,NL0000235190,www.airbus.com;airbus.com,https://www.airbus.com;https://airbus.com,https://www.airbus.com
HSBC HOLDINGS PLC,GB0005405286,www.hsbc.com;www.hsbc.co.uk;hsbc.co.uk,https://www.hsbc.com;https://www.hsbc.co.uk;https://hsbc.co.uk,https://www.hsbc.com
ROCHE HOLDING AG,CH0012032048,www.roche.com;www.roche.ch;roche.ch,https://www.roche.com;https://www.roche.ch;https://roche.ch,https://www.roche.com
BANCO SANTANDER SA,ES0113900J37,www.santander.com;www.bancosantander.es;bancosantander.es,https://www.santander.com;https://www.bancosantander.es/particulares;https://bancosantander.es,https://www.santander.com
MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MUNCHEN,DE0008430026,www.munichre.com;munichre.com,https://www.munichre.com;https://munichre.com,https://www.munichre.com
UNILEVER PLC,GB00B10RZP78,www.unilever.com;www.unilever.co.uk;unilever.co.uk,https://www.unilever.com;https://www.unilever.co.uk;https://unilever.co.uk,https://www.unilever.com
ARCELORMITTAL SA,LU1598757687,www.arcelormittal.com;corporate.arcelormittal.com;arcelormittal.com,https://www.arcelormittal.com;https://corporate.arcelormittal.com;https://arcelormittal.com,https://www.arcelormittal.com
REPSOL SA.,ES0173516115,www.repsol.com;www.bolsasymercados.es;bolsamadrid.es,https://www.repsol.com;https://www.bolsasymercados.es/bme-exchange/es/Bolsa-Madrid;https://bolsamadrid.es,https://www.repsol.com
ANHEUSER-BUSCH INBEV SA/NV,BE0974293251,www.ab-inbev.com;ab-inbev.be,https://www.ab-inbev.com;https://ab-inbev.be,https://www.ab-inbev.com
BOUYGUES,FR0000120503,www.bouygues.fr;www.bouyguestelecom.fr;bouyguestelecom.fr,https://www.bouygues.fr;https://www.bouyguestelecom.fr;https://bouyguestelecom.fr,https://www.bouygues.fr
RENAULT,FR0000131906,www.groupe.renault.com;www.renault.fr;renault.fr,https://www.groupe.renault.com;https://www.renault.fr;https://renault.fr,https://www.groupe.renault.com
DAIMLER TRUCK HOLDING AG,DE000DTR0CK8,www.daimlertruck.com;www.daimler-truck.com;daimler-truck.com,https://www.daimlertruck.com;https://www.daimler-truck.com/en;https://daimler-truck.com,https://www.daimlertruck.com
COMPASS GROUP PLC,GB00BD6K4575,www.compass-group.com;www.compassgroupcareers.com;compass-group.com,https://www.compass-group.com;https://www.compassgroupcareers.com;https://compass-group.com,https://www.compass-group.com
A P MOLLER-MAERSK A/S,DK0010244508,www.maersk.com;www.maersk-fpsos.com;maersk-fpsos.com,https://www.maersk.com;https://www.maersk-fpsos.com;https://maersk-fpsos.com,https://www.maersk.com
ASSICURAZIONI GENERALI SPA,IT0000062072,www.generali.com;generali.com,https://www.generali.com;https://generali.com,https://www.generali.com
RIO TINTO PLC,GB0007188757,www.riotinto.com;riotinto.com,https://www.riotinto.com;https://riotinto.com,https://www.riotinto.com
ASTRAZENECA PLC,GB0009895292,www.astrazeneca.com;www.astrazeneca.co.uk;astrazeneca.co.uk,https://www.astrazeneca.com;https://www.astrazeneca.co.uk;https://astrazeneca.co.uk,https://www.astrazeneca.com
NOVARTIS AG,CH0012005267,www.novartis.com;novartis.com,https://www.novartis.com;https://novartis.com,https://www.novartis.com
SANOFI,FR0000120578,www.sanofi.com;sanofi.com,https://www.sanofi.com;https://sanofi.com,https://www.sanofi.com
BNP PARIBAS,FR0000131104,group.bnpparibas;www.group.bnpparibas;www.bnpparibas.lu;bnpparibas.lu,https://group.bnpparibas;https://www.group.bnpparibas;https://www.bnpparibas.lu/en;https://bnpparibas.lu,https://group.bnpparibas
BAYER AG,DE000BAY0017,www.bayer.com;www.bayer04.de;bayer04.de,https://www.bayer.com;https://www.bayer04.de;https://bayer04.de,https://www.bayer.com
IBERDROLA SA,ES0144580Y14,www.iberdrola.es;www.iberdrola.com;iberdrola.com,https://www.iberdrola.es;https://www.iberdrola.com;https://iberdrola.com,https://www.iberdrola.com
VODAFONE GROUP PLC,GB00BH4HKS39,www.vodafone.com;www.vodafone.co.uk;vodafone.co.uk,https://www.vodafone.com;https://www.vodafone.co.uk;https://vodafone.co.uk,https://www.vodafone.com
COMPAGNIE DE SAINT-GOBAIN,FR0000125007,www.saint-gobain.com;saint-gobain.com,https://www.saint-gobain.com;https://saint-gobain.com,https://www.saint-gobain.com
AB VOLVO,SE0000115446,www.volvogroup.com;volvogroup.se,https://www.volvogroup.com;https://volvogroup.se,https://www.volvogroup.com
VEOLIA ENVIRONNEMENT,FR0000124141,www.veolia.fr;veolia.fr,https://www.veolia.fr;https://veolia.fr,https://www.veolia.fr
L'OREAL,FR0000120321,www.loreal.com;www.loreal-paris.fr;loreal-paris.fr,https://www.loreal.com;https://www.loreal-paris.fr;https://loreal-paris.fr,https://www.loreal.com
ORANGE,FR0000133308,www.orange.com;www.orange.fr;orange.fr,https://www.orange.com;https://www.orange.fr/portail;https://orange.fr,https://www.orange.com
TELEFONICA SA,ES0178430E18,www.telefonica.com;www.telefonica.es;telefonica.es,https://www.telefonica.com;https://www.telefonica.es/es;https://telefonica.es,https://www.telefonica.com
"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, SA",ES0167050915,www.grupoacs.com;grupoacs.com,https://www.grupoacs.com;https://grupoacs.com,https://www.grupoacs.com
IMPERIAL BRANDS PLC,GB0004544929,www.imperial-tobacco.com;www.imperialbrandsplc.com;imperialbrandsplc.com,https://www.imperial-tobacco.com;https://www.imperialbrandsplc.com;https://imperialbrandsplc.com,https://www.imperial-tobacco.com
DR. ING. H.C. F. PORSCHE AG,DE000PAG9113,www.porsche.com;porsche.com,https://www.porsche.com;https://porsche.com,https://www.porsche.com
SAINSBURY (J) PLC,GB00B019KW72,www.j-sainsbury.co.uk,https://www.j-sainsbury.co.uk,https://www.j-sainsbury.co.uk
BANCO BILBAO VIZCAYA ARGENTARIA SA,ES0113211835,www.bbva.es;www.bbva.com;bbva.com,https://www.bbva.es;https://www.bbva.com/en/us;https://bbva.com,https://www.bbva.es
NOVO NORDISK A/S,DK0062498333,www.novonordisk.com;www.novonordisk.dk;novonordisk.dk,https://www.novonordisk.com;https://www.novonordisk.dk;https://novonordisk.dk,https://www.novonordisk.com
GSK PLC,GB00BN7SWP63,www.gsk.com;gsk.com,https://www.gsk.com;https://gsk.com,https://www.gsk.com
INDUSTRIA DE DISENO TEXTIL S.A.,ES0148396007,www.inditex.com;inditex.com,https://www.inditex.com;https://inditex.com,https://www.inditex.com
SCHNEIDER ELECTRIC SE,FR0000121972,www.schneider-electric.ch;www.se.com;schneider-electric.fr,https://www.schneider-electric.ch;https://www.se.com/fr/fr;https://schneider-electric.fr,https://www.schneider-electric.ch
THYSSENKRUPP AG,DE0007500001,www.thyssenkrupp.com;thyssenkrupp.com,https://www.thyssenkrupp.com;https://thyssenkrupp.com,https://www.thyssenkrupp.com
VOLVO CAR AB,SE0016844831,www.volvocars.com;www.volvo.com;volvo.com,https://www.volvocars.com;https://www.volvo.com/en;https://volvo.com,https://www.volvocars.com
OMV AKTIENGESELLSCHAFT,AT0000743059,www.omv.com;omv.at,https://www.omv.com;https://omv.at,https://www.omv.com
HOCHTIEF AG,DE0006070006,www.hochtief.de;hochtief.de,https://www.hochtief.de;https://hochtief.de,https://www.hochtief.de
JERONIMO MARTINS SGPS S.A.,PTJMT0AE0001,www.jeronimomartins.com;www.jeronimomartins.pt;jeronimomartins.pt,https://www.jeronimomartins.com;https://www.jeronimomartins.pt;https://jeronimomartins.pt,https://www.jeronimomartins.com
BARCLAYS PLC,GB0031348658,home.barclays;www.home.barclays;barclays.com,https://home.barclays;https://www.home.barclays;https://barclays.com,https://home.barclays
INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A,ES0177542018,www.iairgroup.com;www.iagcargo.com;iagcargo.com,https://www.iairgroup.com;https://www.iagcargo.com;https://iagcargo.com,https://www.iairgroup.com
BAE SYSTEMS PLC,GB0002634946,www.baesystems.com;baesystems.com,https://www.baesystems.com;https://baesystems.com,https://www.baesystems.com
ABB LTD,CH0012221716,www.abb.com;uzh.ch,https://www.abb.com;https://uzh.ch/de.html;https://uzh.ch,https://www.abb.com
BRITISH AMERICAN TOBACCO PLC,GB0002875804,www.bat.com;bat.com,https://www.bat.com;https://bat.com,https://www.bat.com
DEUTSCHE BANK AG,DE0005140008,www.db.com;www.deutsche-bank.de;deutsche-bank.de,https://www.db.com;https://www.deutsche-bank.de/pk.html;https://deutsche-bank.de,https://www.db.com
HEINEKEN HOLDING N.V.,NL0000008977,www.theheinekencompany.com;www.heinekenholding.com;heinekenholding.com,https://www.theheinekencompany.com;https://www.heinekenholding.com;https://heinekenholding.com,https://www.theheinekencompany.com
HEINEKEN N.V.,NL0000009165,www.heinekeninternational.com;www.heineken.com;heineken.com,https://www.heinekeninternational.com;https://www.heineken.com/us/en/agegateway?returnurl=%2f;https://heineken.com,https://www.heinekeninternational.com
SAFRAN,FR0000073272,www.safran-group.com;safran-usa.com,https://www.safran-group.com;https://safran-usa.com,https://www.safran-group.com
INTESA SANPAOLO S.P.A.,IT0000072618,www.intesasanpaolo.com;www.intesasanpaoloprivatebanking.it;intesasanpaoloprivatebanking.it,https://www.intesasanpaolo.com;https://www.intesasanpaoloprivatebanking.it/it;https://intesasanpaoloprivatebanking.it,https://www.intesasanpaolo.com
ASML HOLDING N.V.,NL0010273215,www.asml.com;asml.com,https://www.asml.com;https://asml.com,https://www.asml.com
HOLCIM AG,CH0012214059,www.lafargeholcim.com;www.holcim.ch;holcim.ch,https://www.lafargeholcim.com;https://www.holcim.ch/de;https://holcim.ch,https://www.lafargeholcim.com
FORVIA SE,FR0000121147,www.faurecia.com;www.forvia.com;forvia.com,https://www.faurecia.com;https://www.forvia.com/en;https://forvia.com,https://www.faurecia.com
CREDIT AGRICOLE SA,FR0000045072,www.credit-agricole.com;www.credit-agricole.fr;credit-agricole.com,https://www.credit-agricole.com;https://www.credit-agricole.fr;https://credit-agricole.com,https://www.credit-agricole.com
DANONE,FR0000120644,www.danone.com;danone.com,https://www.danone.com;https://danone.com,https://www.danone.com
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,FR0000120073,www.airliquide.com;airliquide.com,https://www.airliquide.com;https://airliquide.com,https://www.airliquide.com
COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,FR001400AJ45,www.michelin.com;www.cgem-france.fr;cgem-france.fr,https://www.michelin.com;https://www.cgem-france.fr;https://cgem-france.fr,https://www.michelin.com
UNICREDIT SPA,IT0005239360,www.unicreditgroup.eu;unicreditgroup.eu,https://www.unicreditgroup.eu;https://unicreditgroup.eu,https://www.unicreditgroup.eu
SOCIETE GENERALE,FR0000130809,www.societegenerale.com;societegenerale.com,https://www.societegenerale.com;https://societegenerale.com,https://www.societegenerale.com
ANGLO AMERICAN PLC,GB00B1XZS820,www.angloamerican.com;angloamerican.com,https://www.angloamerican.com;https://angloamerican.com,https://www.angloamerican.com
ESSILORLUXOTTICA,FR0000121667,www.essilor-luxottica.com;www.essilorluxottica.com;essilorluxottica.com,https://www.essilor-luxottica.com;https://www.essilorluxottica.com/en;https://essilorluxottica.com,https://www.essilor-luxottica.com
KUEHNE + NAGEL INTERNATIONAL AG,CH0025238863,www.kn-portal.com;home.kuehne-nagel.com;kuehne-nagel.com,https://www.kn-portal.com;https://home.kuehne-nagel.com/en;https://kuehne-nagel.com,https://www.kn-portal.com
SODEXO,FR0000121220,www.sodexo.com;sodexo.com,https://www.sodexo.com;https://sodexo.com,https://www.sodexo.com
RWE AKTIENGESELLSCHAFT,DE0007037129,www.rwe.com;www.welt.de;welt.de,https://www.rwe.com;https://www.welt.de;https://welt.de,https://www.rwe.com
BT GROUP PLC,GB0030913577,www.btplc.com;www.bt.com;bt.com,https://www.btplc.com;https://www.bt.com;https://bt.com,https://www.btplc.com
ASSOCIATED BRITISH FOODS PLC,GB0006731235,www.abf.co.uk;abf.co.uk,https://www.abf.co.uk;https://abf.co.uk,https://www.abf.co.uk
AVIVA PLC,GB0002162385,www.aviva.com;aviva.com,https://www.aviva.com;https://aviva.com,https://www.aviva.com
TUI AG,DE000TUAG505,www.tuigroup.com;www.tui-reisecenter.de;tui-reisecenter.de,https://www.tuigroup.com;https://www.tui-reisecenter.de;https://tui-reisecenter.de,https://www.tuigroup.com
DIAGEO PLC,GB0002374006,www.diageo.com;diageo.com,https://www.diageo.com;https://diageo.com,https://www.diageo.com
EIFFAGE,FR0000130452,www.eiffage.com;www.eiffage-amenagement.fr;eiffage-amenagement.fr,https://www.eiffage.com;https://www.eiffage-amenagement.fr;https://eiffage-amenagement.fr,https://www.eiffage.com
RANDSTAD N.V.,NL0000379121,www.randstad.com;www.randstad.nl;randstad.nl,https://www.randstad.com;https://www.randstad.nl;https://randstad.nl,https://www.randstad.com
SIEMENS HEALTHINEERS AG,DE000SHL1006,www.siemens-healthineers.com;siemenshealthineers.org,https://www.siemens-healthineers.com;https://siemenshealthineers.org,https://www.siemens-healthineers.com
CENTRICA PLC,GB00B033F229,www.centrica.co.uk;www.centrica.com;centrica.com,https://www.centrica.co.uk;https://www.centrica.com;https://centrica.com,https://www.centrica.co.uk
ADIDAS AG,DE000A1EWWW0,www.adidas-group.com;www.adidas.de;adidas.de,https://www.adidas-group.com;https://www.adidas.de;https://adidas.de,https://www.adidas-group.com
COMPAGNIE FINANCIERE RICHEMONT SA,CH0210483332,www.richemont.com;richemont.com,https://www.richemont.com;https://richemont.com,https://www.richemont.com
DCC PLC,IE0002424939,www.dcc.ie;dcc.ie,https://www.dcc.ie;https://dcc.ie,https://www.dcc.ie
DSV A/S,DK0060079531,www.dsv.dk;www.dsv.com;dsv.com,https://www.dsv.dk;https://www.dsv.com;https://dsv.com,https://www.dsv.dk
ADECCO GROUP AG,CH0012138605,www.adecco.com;www.adeccogroup.com;adeccogroup.com,https://www.adecco.com;https://www.adeccogroup.com;https://adeccogroup.com,https://www.adecco.com
NATIONAL GRID PLC,GB00BDR05C01,www.nationalgrid.com;nationalgrid.com,https://www.nationalgrid.com;https://nationalgrid.com,https://www.nationalgrid.com
ROLLS-ROYCE HOLDINGS PLC,GB00B63H8491,www.rolls-royce.com;rolls-royce.com,https://www.rolls-royce.com;https://rolls-royce.com,https://www.rolls-royce.com
ING GROEP NV,NL0011821202,www.ing.com;ing.com,https://www.ing.com;https://ing.com,https://www.ing.com
CAPGEMINI,FR0000125338,www.capgemini.com;capgemini.fr,https://www.capgemini.com;https://capgemini.fr,https://www.capgemini.com
FRESENIUS SE & CO. KGAA,DE0005785604,www.fresenius.de;www.fresenius.com;fresenius.de,https://www.fresenius.de;https://www.fresenius.com/de;https://fresenius.de,https://www.fresenius.de
GALP ENERGIA SGPS S.A.,PTGAL0AM0009,www.galp.com;www.galpenergia.com;galp.com,https://www.galp.com;https://www.galpenergia.com;https://galp.com,https://www.galp.com
TELEFONAKTIEBOLAGET LM ERICSSON AB,SE0000108656,www.ericsson.com;ericsson.com,https://www.ericsson.com;https://ericsson.com,https://www.ericsson.com
BOLLORE SE,FR0000039299,www.bollore.com;www.bollore.fr;bollore.fr,https://www.bollore.com;https://www.bollore.fr;https://bollore.fr,https://www.bollore.com
LLOYDS BANKING GROUP PLC,GB0008706128,lloydsbankinggroup.com;www.lloydsbankinggroup.com,https://lloydsbankinggroup.com;https://www.lloydsbankinggroup.com,https://lloydsbankinggroup.com
HEIDELBERG MATERIALS AG,DE0006047004,www.heidelbergcement.com;www.heidelbergmaterials.com;heidelbergmaterials.com,https://www.heidelbergcement.com;https://www.heidelbergmaterials.com/en;https://heidelbergmaterials.com,https://www.heidelbergcement.com
VALEO,FR0013176526,www.valeo.com;valeo.com,https://www.valeo.com;https://valeo.com,https://www.valeo.com
MERCK KGAA,DE0006599905,www.merck.de;www.merck-bkk.de;merck-bkk.de,https://www.merck.de;https://www.merck-bkk.de;https://merck-bkk.de,https://www.merck.de
THALES,FR0000121329,www.thalesgroup.com;thalesgroup.com,https://www.thalesgroup.com;https://thalesgroup.com,https://www.thalesgroup.com
"ENDESA, S.A. (SPAIN)",ES0130670112,www.endesa.com;endesa.com,https://www.endesa.com;https://endesa.com,https://www.endesa.com
ACCIONA SA,ES0125220311,www.acciona.com;acciona.com,https://www.acciona.com;https://acciona.com,https://www.acciona.com
HENNES & MAURITZ AB,SE0000106270,www.hm.com;hm.com,https://www.hm.com;https://hm.com,https://www.hm.com
NESTE OYJ,FI0009013296,www.neste.com;www.neste.sg;neste.sg,https://www.neste.com;https://www.neste.sg/neste-in-singapore-and-asia-pacific;https://neste.sg,https://www.neste.com
NOKIA OYJ,FI0009000681,www.nokia.com;nokia.com,https://www.nokia.com;https://nokia.com,https://www.nokia.com
FRESENIUS MEDICAL CARE AG,DE0005785802,www.fmc-ag.com;www.freseniusmedicalcare.com;freseniusmedicalcare.com,https://www.fmc-ag.com;https://www.freseniusmedicalcare.com/en/home;https://freseniusmedicalcare.com,https://www.fmc-ag.com
"NATURGY ENERGY GROUP, S.A.",ES0116870314,www.naturgy.com;www.bolsasymercados.es;bolsamadrid.es,https://www.naturgy.com;https://www.bolsasymercados.es/bme-exchange/es/Bolsa-Madrid;https://bolsamadrid.es,https://www.naturgy.com
REXEL,FR0010451203,www.rexel.com;rexel.com,https://www.rexel.com;https://rexel.com,https://www.rexel.com
ALSTOM S.A,FR0010220475,www.alstom.com;alstom.com,https://www.alstom.com;https://alstom.com,https://www.alstom.com
STANDARD CHARTERED PLC,GB0004082847,www.sc.com;sc.com,https://www.sc.com;https://sc.com,https://www.sc.com
KONINKLIJKE PHILIPS N.V.,NL0000009538,www.philips.com;www.philips.nl;philips.nl,https://www.philips.com;https://www.philips.nl;https://philips.nl,https://www.philips.com
AURUBIS AG,DE0006766504,www.aurubis.com;aurubis.net,https://www.aurubis.com;https://aurubis.net,https://www.aurubis.com
LEONARDO S.P.A.,IT0003856405,www.leonardocompany.com;www.leonardo.com;leonardo.com,https://www.leonardocompany.com;https://www.leonardo.com/en;https://leonardo.com,https://www.leonardocompany.com
VOESTALPINE AG,AT0000937503,www.voestalpine.com;voestalpine.com,https://www.voestalpine.com;https://voestalpine.com,https://www.voestalpine.com
VIVENDI SE,FR0000127771,www.vivendi.com;vivendi.com,https://www.vivendi.com;https://vivendi.com,https://www.vivendi.com
WPP PLC (NEW),JE00B8KF9B49,www.wpp.com,https://www.wpp.com,https://www.wpp.com
NATWEST GROUP PLC,GB00BM8PJY71,www.natwestgroup.com;rbs.com,https://www.natwestgroup.com;https://rbs.com,https://www.natwestgroup.com
NORSK HYDRO ASA,NO0005052605,www.hydro.com;norskhydroasa.com,https://www.hydro.com;https://norskhydroasa.com,https://www.hydro.com
VESTAS WIND SYSTEMS A/S,DK0010268606,www.vestas.dk;www.vestas.com;vestas.dk,https://www.vestas.dk;https://www.vestas.com/en;https://vestas.dk,https://www.vestas.dk
KERING,FR0000121485,www.kering.com;kering.org,https://www.kering.com;https://kering.org,https://www.kering.com
PRYSMIAN S.P.A.,IT0004176001,www.prysmian.com,https://www.prysmian.com,https://www.prysmian.com
RECKITT BENCKISER GROUP PLC,GB00B24CGK77,www.reckittbenckiser.com;reckitt.com,https://www.reckittbenckiser.com;https://reckitt.com,https://www.reckittbenckiser.com
